"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000394815.3",-2.33056923239059,7.58728471990415,-26.7292028066555,2.45274731447953e-07,0.00867908453170641,7.7578023037002
"ENST00000083182.8",-0.828792724689931,8.84754835550736,-24.6957976787612,3.88173528423485e-07,0.00867908453170641,7.59718889714172
"ENST00000321867.6",-1.27271812172481,6.99438699919821,-23.1697572048336,5.61773719795133e-07,0.00867908453170641,6.98791513940772
"ENST00000393085.4",-1.13317293592273,7.19196698641507,-20.8622276381493,1.03077482191807e-06,0.00867908453170641,6.52334687150712
"ENST00000219789.11",-1.42556859423915,6.21749862976494,-21.6661138909371,8.28375589049839e-07,0.00867908453170641,6.44601741097014
"ENST00000249330.3",1.4316380727996,6.87162002238977,20.593914292357,1.11083141450203e-06,0.00867908453170641,6.39275599660805
"ENST00000369448.4",1.58887171091098,5.41557252634479,21.9217945659278,7.74022229866834e-07,0.00867908453170641,6.15656431325866
"ENST00000371711.4",-1.23883121667124,5.92129675754938,-19.7355444885802,1.42041778241808e-06,0.00943569772126338,5.95406544529784
"ENST00000295628.4",-1.9190630460394,5.69918685902,-19.2034137588537,1.66303463983593e-06,0.00943569772126338,5.72663211515529
"ENST00000370053.3",1.35492038859802,6.1667695645304,18.2609005146894,2.22259753385726e-06,0.00997728107576095,5.6637978851154
"ENST00000265087.9",-0.762217194006605,8.23915702505759,-17.5776360371304,2.7680998769707e-06,0.00997728107576095,5.63214392932954
"ENST00000438166.7",-1.60102863358356,5.87426578522173,-18.2441466682101,2.23437718837678e-06,0.00997728107576095,5.57530183286614
"ENST00000422749.5",1.08538452944388,9.49328201477458,16.9311466771719,3.43346573798384e-06,0.00997728107576095,5.26573081229834
"ENST00000681657.1",-0.830683494148931,6.90733930533043,-16.4960797853284,3.98704651345567e-06,0.00997728107576095,5.2606662993366
"ENST00000266732.8",-1.21556524708247,5.23723635202824,-17.1609724179843,3.17750396201603e-06,0.00997728107576095,5.13387025182692
"ENST00000398431.2",1.16919216640909,5.40293383247365,16.7161887675351,3.69491162866039e-06,0.00997728107576095,5.07092398759027
"ENST00000442011.7",-1.12076151096762,5.7088278251475,-16.3148506369879,4.24797129507338e-06,0.00997728107576095,5.03358268049504
"ENST00000397041.8",0.655920132406859,8.94881844731442,16.0194310769609,4.71732269582452e-06,0.00997728107576095,4.99775932482978
"ENST00000518547.6",1.6144883721114,4.89493559074084,17.1262059791481,3.21475506536937e-06,0.00997728107576095,4.98570466384304
"ENST00000301071.12",-1.19018166426226,6.45800402294757,-15.4219211647563,5.86502382263783e-06,0.00997728107576095,4.86154767391528
"ENST00000360612.5",0.667779218345575,7.51793804233165,15.2848691496723,6.17244851805439e-06,0.00997728107576095,4.84192172502212
"ENST00000423777.7",-1.17351562027588,5.39978618236011,-15.860373941871,4.99500745370222e-06,0.00997728107576095,4.82946129049635
"ENST00000327741.9",-1.36831104286036,6.67631466119025,-15.2054837716182,6.35911484329183e-06,0.00997728107576095,4.80034452249933
"ENST00000290271.7",-1.47127111616806,5.4004889996343,-15.5754625895227,5.54160897586489e-06,0.00997728107576095,4.73560141532801
"ENST00000313234.9",-2.1166589719221,6.80802873044757,-14.8533295722325,7.27085309056802e-06,0.00997728107576095,4.67280276240905
"ENST00000284031.13",0.963576353721121,6.36277161082159,14.782575603695,7.47197463134982e-06,0.00997728107576095,4.63086907032913
"ENST00000375344.8",-1.04914012418431,5.90798443546162,-14.8942346042679,7.15746246013453e-06,0.00997728107576095,4.6213337785521
"ENST00000325404.3",0.987342036722302,6.30791551344655,14.7421691509488,7.58974278389567e-06,0.00997728107576095,4.6118111388096
"ENST00000262713.7",-1.03695149835033,5.39998210090025,-15.0782410796016,6.6722405038945e-06,0.00997728107576095,4.59599803047251
"ENST00000242719.4",0.722388265189684,6.83046194589001,14.6263002377111,7.93965631399227e-06,0.00997728107576095,4.59553121981208
"ENST00000266085.7",-1.42868140304218,5.3820451167723,-15.1207126434259,6.56576401237104e-06,0.00997728107576095,4.59446404757816
"ENST00000332290.4",-1.42328719250409,5.11554009274487,-15.298476274667,6.14109877973369e-06,0.00997728107576095,4.58420559188948
"ENST00000260356.6",-1.27939846476319,6.18625542019106,-14.6598553763308,7.83642166944049e-06,0.00997728107576095,4.56808452461744
"ENST00000374557.4",-1.29634079006914,4.88288357185961,-15.4123023297472,5.88600765611127e-06,0.00997728107576095,4.55649273912802
"ENST00000280098.9",-0.941992538910446,5.5692941217785,-14.725583174247,7.63871023717988e-06,0.00997728107576095,4.51500522890434
"ENST00000357244.7",-1.1893589097568,5.73034104937276,-14.5983771860983,8.02677479948588e-06,0.00997728107576095,4.49276912796281
"ENST00000237853.9",1.48055586747325,4.31116712695908,15.948950061967,4.83808504757361e-06,0.00997728107576095,4.48198699058142
"ENST00000361170.7",-0.943793476385697,6.07102191553505,-14.3799579751892,8.74811112981839e-06,0.010179823274724,4.4597077982978
"ENST00000221930.6",-1.35018742229877,4.47566374357728,-15.4402543404851,5.8252706986981e-06,0.00997728107576095,4.42482784171036
"ENST00000330374.7",-1.62888153679637,4.61599273210112,-15.1913989604453,6.39291799166093e-06,0.00997728107576095,4.39153661595802
"ENST00000355710.8",1.62605114079332,6.72220113738237,14.0435094816054,1.00127632522732e-05,0.010515840057749,4.36459703954366
"ENST00000398529.7",-1.20346717279822,4.66855462694992,-14.905857882207,7.12561964512918e-06,0.00997728107576095,4.35073673295947
"ENST00000272895.12",1.56804313785541,6.49796003789722,13.962663520415,1.03476919881916e-05,0.010515840057749,4.32580659511572
"ENST00000303575.9",-0.973859652248269,6.04259087503915,-13.9192944138621,1.0532740832735e-05,0.010515840057749,4.28544387623611
"ENST00000307662.5",-1.58320020208972,4.12353547633234,-15.4566858377478,5.78990820139632e-06,0.00997728107576095,4.27586338320668
"ENST00000264893.11",-1.30692169174821,4.893458964676,-14.4071414529746,8.65433373269106e-06,0.010179823274724,4.26009407517709
