"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000360110.9",1.14605390084216,10.0585100025218,41.8970964405611,4.859118434844e-08,0.0024764011191339,9.50311383475568
"ENST00000617285.5",-2.06538950589127,7.66796078071789,-25.0229981130206,7.9202291604402e-07,0.0201823279466337,6.24757430446206
"ENST00000652093.1",-1.53672732661195,6.91679397537876,-21.7385586485109,1.69180159545525e-06,0.0287403255035937,5.40888710803084
"ENST00000680032.1",-1.34546821605155,10.3654469844115,-18.0347484834619,4.61784667039323e-06,0.0308203747146672,5.04467010993595
"ENST00000376588.4",-1.35850053820486,7.1756937504115,-17.6794204532254,5.13777295210071e-06,0.0308203747146672,4.78774969557807
"ENST00000286091.9",-1.83295717115689,7.47852828203576,-17.0991340131195,6.14361311855824e-06,0.0308203747146672,4.71410845358599
"ENST00000324460.7",-1.54509714556881,10.4483232675661,-16.846955998224,6.65222749119652e-06,0.0308203747146672,4.63145427190666
"ENST00000602402.6",-1.37927642740463,6.9679749693971,-17.2591026435691,5.84475385458025e-06,0.0308203747146672,4.61423467298708
"ENST00000534233.6",-1.95976821394263,6.69602109208877,-17.4495377479382,5.51107133435024e-06,0.0308203747146672,4.49080768836304
"ENST00000301258.5",2.07717082464375,6.07986959595373,19.5862136808928,2.96488637752066e-06,0.0308203747146672,4.44511653437609
"ENST00000570273.5",-1.45975735263845,6.30470929947719,-17.5346776998445,5.36919567146278e-06,0.0308203747146672,4.36150524332301
"ENST00000248958.5",-1.186058270255,7.10936708410707,-15.9921626222949,8.78806903819308e-06,0.0332447596544994,4.35355614793337
"ENST00000328268.9",-1.21824922937073,6.89941665779164,-15.8774952631673,9.13245889574979e-06,0.0332447596544994,4.25938788706373
"ENST00000361060.5",-1.16186586082853,7.1817240281493,-15.3026057227999,1.11192442961494e-05,0.0354175728943099,4.17905656876386
"ENST00000366672.5",0.726976609276004,8.7856458059097,14.8692989648255,1.29590738301121e-05,0.0360647500720629,4.1547065097271
"ENST00000554988.1",2.77747578070168,7.59132307796569,14.6631743384984,1.39592590825504e-05,0.0360647500720629,3.9885627509808
"ENST00000227507.3",-0.991918906047735,7.2273365645923,-14.6252558312052,1.41530296177941e-05,0.0360647500720629,3.98680760014077
"ENST00000388712.7",0.941138426988923,7.24281200781231,14.3147035754085,1.58653516266372e-05,0.0371280003212395,3.88886958812576
"ENST00000336735.9",-1.52749385005054,6.7347998552979,-14.6261988971335,1.41481720481954e-05,0.0360647500720629,3.84967790701136
"ENST00000680281.1",-1.86119091380466,6.93226129261775,-14.1813158444461,1.66751732380969e-05,0.0371280003212395,3.75231351585064
"ENST00000372310.8",-1.14615521848556,6.53123615057268,-14.1684508059842,1.67558277880172e-05,0.0371280003212395,3.67394875170903
"ENST00000344347.6",-1.73484080188483,5.73652613223973,-15.4619028662886,1.05216052457769e-05,0.0354175728943099,3.59472108079078
"ENST00000374695.8",0.709138829272703,8.46035636301501,13.0928603530548,2.54744830538122e-05,0.048084502013129,3.47904243129991
"ENST00000528157.7",-1.32311745283353,6.17867587032468,-13.6972286259913,2.00539101427294e-05,0.0408810990605624,3.41145286150404
"ENST00000358461.6",0.70626825387263,7.70558388362151,12.8464174956887,2.81699165066753e-05,0.0489242393729001,3.39989731030393
"ENST00000376450.7",0.734802990282042,8.35882302254175,12.7928662558986,2.87992932498823e-05,0.0489242393729001,3.35992505692391
"ENST00000379792.6",-2.07015155534846,5.09279056618884,-16.5574321584,7.29874537976412e-06,0.0309977716278582,3.24922379773161
"ENST00000404621.5",1.27688453727145,6.53076034320333,12.8462537162415,2.81718165093333e-05,0.0489242393729001,3.24543194083626
"ENST00000392027.3",2.01998718213571,5.63478231255213,13.158957555784,2.48040430701323e-05,0.048084502013129,2.95336748236055
"ENST00000633965.1",2.18672340776054,4.4436361615097,13.8350239878021,1.90160007819586e-05,0.0403804776604891,2.23012000797487
