"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000361337.3",-0.960440914187657,-0.914373639849304,-0.84138590678386,0.731333308837432,1.11253070094101,0.872336451042377,"ENST00000361337"
"ENST00000370355.3",-0.97383269702613,-0.92045264558573,-0.823988657667902,0.713645819913787,1.06105960249061,0.943568577875369,"ENST00000370355"
"ENST00000261489.7",-0.933539442822452,-0.92215557354574,-0.862760092545992,0.753493950842903,1.11568891072335,0.849272247347933,"ENST00000261489"
"ENST00000320031.13",-0.956928441464476,-0.918376528689419,-0.84101629784904,0.714882082905016,1.09978597922908,0.901653205868835,"ENST00000320031"
"ENST00000340857.4",-0.934337793069784,-0.913150654307668,-0.868973216037723,0.706538485528164,1.10233226921195,0.907590908675055,"ENST00000340857"
"ENST00000373218.5",-0.942696180351064,-0.895972367832517,-0.882128275234428,0.747148372403069,1.09757696629218,0.876071484722765,"ENST00000373218"
"ENST00000367142.5",-0.991020181928374,-0.900240568552779,-0.81538515702997,0.744288830105839,1.15894868692221,0.803408390483074,"ENST00000367142"
"ENST00000272542.8",-0.953428777603168,-0.947500582019867,-0.822048960895733,0.763734305619436,1.06577035177781,0.893473663121523,"ENST00000272542"
"ENST00000375650.5",0.685728718661595,0.94119915281161,1.08533333760655,-0.999235222332741,-0.868170185222818,-0.844855801524192,"ENST00000375650"
"ENST00000272233.6",-0.93569454079302,-0.936821770437586,-0.84213448029409,0.702170132760549,1.10515473069269,0.907325928071457,"ENST00000272233"
"ENST00000621914.4",-0.98850677784446,-0.927302347870974,-0.800905643349647,0.745888265356892,1.09285392846865,0.877972575239536,"ENST00000621914"
"ENST00000421351.4",-0.956145675810081,-0.907368824377517,-0.843550996392146,0.678663238661358,1.14284274001241,0.885559517905976,"ENST00000421351"
"ENST00000359943.8",-0.930563042597201,-0.922657467269207,-0.86589267613542,0.803511009153405,1.11995796224663,0.7956442146018,"ENST00000359943"
"ENST00000296129.6",-0.964139062078563,-0.915504150652041,-0.850547825436825,0.784089340326094,0.987270781662567,0.958830916178769,"ENST00000296129"
"ENST00000326840.11",-0.997177076876887,-0.937954318505712,-0.75953400257894,0.6907863660066,1.18087565243296,0.823003379521981,"ENST00000326840"
"ENST00000366607.5",-0.974069019695258,-0.920767871520116,-0.810312291051714,0.69189358961578,1.15059703365513,0.86265855899618,"ENST00000366607"
"ENST00000458653.5",0.772240046055979,0.815967317029551,1.12906516898561,-0.938172698269344,-0.877542171571534,-0.90155766223026,"ENST00000458653"
"ENST00000257497.11",-0.997743708134564,-0.940391059973714,-0.754620727282738,0.640158879217222,1.15733242606761,0.89526419010618,"ENST00000257497"
"ENST00000430245.5",0.702486771515479,0.941854676565258,1.07286553610898,-0.975524403588138,-0.869311956127386,-0.87237062447419,"ENST00000430245"
"ENST00000406875.8",-0.947715928043393,-0.890888998499333,-0.868608904110421,0.685000148084411,1.15212207437291,0.87009160819583,"ENST00000406875"
"ENST00000614556.5",-0.987257464504574,-0.899860184288503,-0.832962341540708,0.786979817158139,1.09688180319427,0.836218369981376,"ENST00000614556"
"ENST00000245185.6",-0.935508415235281,-0.948749140404987,-0.846011273380123,0.811692698888674,1.02875668364196,0.889819446489749,"ENST00000245185"
"ENST00000239938.5",-0.923739609207542,-0.9333475991993,-0.855797394265828,0.771384339338245,1.14884108901443,0.792659174319993,"ENST00000239938"
"ENST00000377482.10",-1.04631872370942,-0.904463306414738,-0.720002802006137,0.593704148444212,1.21050330546739,0.866577378218688,"ENST00000377482"
"ENST00000244745.4",-0.920131050246613,-0.950792621806821,-0.858807907126197,0.806285770657322,1.03880268832223,0.884643120200076,"ENST00000244745"
"ENST00000379982.8",-0.920681481496454,-0.910127995251242,-0.899548564190218,0.860818431421488,1.04928503279013,0.820254576726298,"ENST00000379982"
"ENST00000245960.10",-0.927446366441404,-0.931995348921818,-0.877530473289629,0.882909512688788,0.964878164883035,0.889184511081029,"ENST00000245960"
"ENST00000395748.8",-0.94591609695551,-0.915925569806123,-0.844691512619812,0.686498626573741,1.15366471816265,0.866369834645055,"ENST00000395748"
"ENST00000336180.7",-0.938404258246497,-0.90204446564965,-0.871057371198557,0.729869174532634,1.15022490898376,0.83141201157831,"ENST00000336180"
"ENST00000693505.1",-0.96200065714935,-0.914499757606761,-0.848753819065584,0.839638479421979,1.07527621465587,0.810339539743845,"ENST00000693505"
"ENST00000265641.10",-0.92812752146703,-0.913064270394055,-0.883715750261614,0.732114909506078,1.03057186120638,0.962220771410244,"ENST00000265641"
"ENST00000370501.4",-0.917095803156274,-0.909742554617546,-0.88252436877678,0.643328703714379,1.07957019543919,0.986463827397031,"ENST00000370501"
"ENST00000272462.3",-0.936367084952371,-0.942962687832113,-0.836973153493467,0.722296582783768,1.10602378781765,0.887982555676529,"ENST00000272462"
"ENST00000260356.6",0.864402094145096,0.940847924425845,0.9321383324141,-0.917426061322905,-0.888412810462893,-0.931549479199243,"ENST00000260356"
"ENST00000368468.4",-0.973234648600146,-0.91820466669139,-0.833063939964634,0.803299295661785,1.07221939593288,0.848984563661507,"ENST00000368468"
"ENST00000253039.9",0.597294228488127,0.903373235684569,1.18091306194768,-0.99792880297749,-0.743344179132974,-0.940307544009914,"ENST00000253039"
